month,monthNumber,principalOutstandingStart,emi,emiPaid,emiLeftOrExtra,principalInEMI,principalPaid,principalLeftOrExtra,interestInEMI,interestPaid,interestLeft,additionalPrincipal,effectiveRatePerPeriod
Mar 2020,1,10477200.00,493198.18,0.00,0.00,388426.18,0.00,-388426.18,104772.00,0.00,104772.00,0.00,1.00000%
Apr 2020,2,10581972.00,517308.59,0.00,0.00,411488.87,0.00,-411488.87,105819.72,0.00,105819.72,0.00,1.00000%
May 2020,3,10687791.72,543620.83,543620.83,0.00,436742.91,436742.91,0.00,106877.92,106877.92,0.00,0.00,1.00000%
Jun 2020,4,10251048.81,543620.83,543620.83,0.00,441110.34,441110.34,0.00,102510.49,102510.49,0.00,0.00,1.00000%
Jul 2020,5,9809938.47,543620.83,0.00,0.00,445521.44,0.00,-445521.44,98099.38,0.00,98099.38,0.00,1.00000%
Aug 2020,6,9908037.85,575178.97,0.00,0.00,476098.59,0.00,-476098.59,99080.38,0.00,99080.38,0.00,1.00000%
Sep 2020,7,10007118.23,610254.56,610254.56,0.00,510183.38,510183.38,0.00,100071.18,100071.18,0.00,0.00,1.00000%
Oct 2020,8,9496934.85,610254.56,610254.56,0.00,515285.21,515285.21,0.00,94969.35,94969.35,0.00,0.00,1.00000%
Nov 2020,9,8981649.63,610254.56,610254.56,0.00,520438.07,520438.07,0.00,89816.50,89816.50,0.00,0.00,1.00000%
Dec 2020,10,8461211.57,610254.56,610254.56,0.00,525642.45,525642.45,0.00,84612.12,84612.12,0.00,0.00,1.00000%
Jan 2021,11,7935569.12,610254.56,610254.56,0.00,530898.87,530898.87,0.00,79355.69,79355.69,0.00,0.00,1.00000%
Feb 2021,12,7404670.25,610254.56,610254.56,0.00,536207.86,536207.86,0.00,74046.70,74046.70,0.00,0.00,1.00000%
Mar 2021,13,6868462.39,610254.56,610254.56,0.00,541569.94,541569.94,0.00,68684.62,68684.62,0.00,0.00,1.00000%
Apr 2021,14,6326892.45,610254.56,610254.56,0.00,546985.64,546985.64,0.00,63268.92,63268.92,0.00,0.00,1.00000%
May 2021,15,5779906.81,610254.56,610254.56,0.00,552455.50,552455.50,0.00,57799.07,57799.07,0.00,0.00,1.00000%
Jun 2021,16,5227451.31,610254.56,610254.56,0.00,557980.05,557980.05,0.00,52274.51,52274.51,0.00,0.00,1.00000%
Jul 2021,17,4669471.26,610254.56,0.00,0.00,563559.85,0.00,-563559.85,46694.71,0.00,46694.71,0.00,1.00000%
Aug 2021,18,4716165.98,700955.65,0.00,0.00,653793.99,0.00,-653793.99,47161.66,0.00,47161.66,0.00,1.00000%
Sep 2021,19,4763327.64,821904.40,821904.40,0.00,774271.13,774271.13,0.00,47633.28,47633.28,0.00,0.00,1.00000%
Oct 2021,20,3989056.51,821904.40,821904.40,0.00,782013.84,782013.84,0.00,39890.57,39890.57,0.00,0.00,1.00000%
Nov 2021,21,3207042.67,821904.40,821904.40,0.00,789833.98,789833.98,0.00,32070.43,32070.43,0.00,0.00,1.00000%
Dec 2021,22,2417208.69,821904.40,821904.40,0.00,797732.32,797732.32,0.00,24172.09,24172.09,0.00,0.00,1.00000%
Jan 2022,23,1619476.38,821904.40,821904.40,0.00,805709.64,805709.64,0.00,16194.76,16194.76,0.00,0.00,1.00000%
Feb 2022,24,813766.74,821904.40,821904.40,0.00,813766.74,813766.74,0.00,8137.67,8137.67,0.00,0.00,1.00000%
