month,monthNumber,principalOutstandingStart,emi,emiPaid,emiLeftOrExtra,principalInEMI,principalPaid,principalLeftOrExtra,interestInEMI,interestPaid,interestLeft,additionalPrincipal,effectiveRatePerPeriod
Dec 2024,1,350000.00,11097.36,11097.36,0.00,8530.69,8530.69,0.00,2566.67,2566.67,0.00,0.00,0.73333%
Jan 2025,2,341469.31,11097.36,11097.36,78000.00,8593.25,86593.25,78000.00,2504.11,2504.11,0.00,0.00,0.73333%
Mar 2025,3,254876.06,11097.36,11097.36,77000.00,9228.27,86228.27,77000.00,1869.09,1869.09,0.00,0.00,0.73333%
Mar 2025,4,168647.80,11097.36,11097.36,0.00,9860.61,9860.61,0.00,1236.75,1236.75,0.00,0.00,0.73333%
Apr 2025,5,158787.19,11097.36,11097.36,100000.00,9932.92,109932.92,100000.00,1164.44,1164.44,0.00,0.00,0.73333%
May 2025,6,48854.28,11097.36,200.00,0.00,10739.09,0.00,-10739.09,358.26,200.00,158.26,0.00,0.73333%
Jun 2025,7,49012.54,11097.36,11097.36,0.00,10737.93,10737.93,0.00,359.43,359.43,0.00,0.00,0.73333%
Jul 2025,8,38274.61,11097.36,11097.36,0.00,10816.68,10816.68,0.00,280.68,280.68,0.00,0.00,0.73333%
Aug 2025,9,27457.93,11097.36,11097.36,0.00,10896.00,10896.00,0.00,201.36,201.36,0.00,0.00,0.73333%
Sep 2025,10,16561.94,11097.36,11097.36,0.00,10975.90,10975.90,0.00,121.45,121.45,0.00,0.00,0.73333%
Oct 2025,11,5586.03,5627.00,5627.00,0.00,5586.03,5586.03,0.00,40.96,40.96,0.00,0.00,0.73333%
